"Baseline","IP_0","Heur_0","IP_25","Heur_25","IP_50","Heur_50","IP_75","Heur_75","IP_100","Heur_100","IP_200","Heur_200","IP_500","Heur_500","IP_1000","Heur_1000"
170.7956,169.28370666666666,167.51680000000002,163.57336,161.92507333333333,149.17050666666668,150.00667333333334,153.14301333333333,151.32076,154.76440666666664,154.27725333333333,158.5180533333333,157.08045333333334,168.16402666666667,166.80019333333334,171.5035,171.38049333333333
171.68959333333333,172.20498,169.83269333333334,162.93369333333334,163.71088,149.2249,146.67584666666667,152.31048666666666,150.15986666666666,156.67692666666667,152.31980666666666,158.38197333333332,157.03928666666667,165.24094,165.93521333333334,165.84768666666668,164.50261333333333
173.63066,174.22437333333332,173.18863333333334,165.46804,167.13563333333335,152.76396666666668,150.66321333333335,155.08727333333334,152.12519333333333,154.89895333333334,153.60788666666664,159.6727,157.45208666666667,163.90832666666665,165.30519333333334,166.87739333333334,166.1018
174.6378,173.72481333333334,172.11594,165.81266666666667,164.21836000000002,153.13219999999998,152.31036666666665,155.54844666666668,154.42675333333332,158.19826,156.33109333333334,161.87169333333333,159.66228,168.25144,168.95690666666667,171.18412,171.69746666666668
168.26263333333335,171.30123333333333,171.29743333333332,166.41573333333335,163.42948666666666,148.22705333333332,148.08845333333332,151.24206666666666,149.82544666666666,154.49316,152.27081333333334,157.89784,155.76019333333335,167.42629333333335,164.99564,165.89233333333334,165.09096666666667
173.16490666666667,175.56315999999998,171.83508,168.86981333333333,167.1851,150.21455333333333,148.67224,153.83314,151.50614,153.62386666666666,150.56266666666667,160.41428666666667,156.33715999999998,163.8449466666667,163.11324,168.33204666666668,163.03518
172.20082666666667,175.14474666666666,168.93413999999999,162.89980666666665,164.06200666666666,150.85688666666667,149.29123333333334,154.74102666666667,151.36882,156.88730666666666,151.75165333333334,163.27328,156.98534666666666,168.5283,166.68410666666668,174.03181333333333,173.43857333333332
176.18284666666668,178.8215,178.44939333333335,169.99990666666665,167.56868666666668,152.82772,153.31277333333333,155.17905333333331,153.20007333333334,157.98869333333334,155.50214666666668,160.17531333333332,159.4431,167.97938,165.0189266666667,172.111,168.02108666666666
171.25526666666667,172.74336666666665,170.77704,163.85351333333332,166.05405333333331,149.86598,149.97521999999998,152.32172666666668,151.59544,155.48897333333332,152.71504,159.17286000000001,156.50084,168.12631333333334,163.06694666666667,167.53572,164.6114266666667
173.44173999999998,176.14709333333334,176.81858,170.43218,168.37806666666668,149.7944466666667,147.57224666666667,151.22957333333332,149.77496,154.54203333333334,151.78135333333333,157.37124,153.84376,163.42796666666666,158.53755999999998,163.70194,160.45444
174.03778,173.91596,170.85502666666667,165.97072666666668,166.87408,152.11972,151.07273999999998,157.19309333333334,151.55443333333332,156.77502666666666,152.53657333333334,160.30512,158.91601333333332,169.12584666666666,165.62628,170.83317333333335,168.74484
170.68683333333334,172.31342,171.8235,165.82092666666668,164.65532000000002,153.16384666666667,150.21614666666667,154.19258666666667,151.63990666666666,155.71409333333335,153.6012,163.11462666666668,156.97235333333333,168.35228666666666,163.6207,173.47795333333332,168.91176000000002
168.22151333333332,171.46699333333333,171.04246666666668,163.427,163.04652666666667,151.58818,149.28066666666666,154.44301333333334,151.39860666666667,156.95596,152.52756,161.52512,157.37242,171.52378000000002,166.10723333333334,169.42946,167.43242
169.98432666666665,172.82372666666666,168.87786666666665,164.21057333333331,163.20078,153.57498666666666,149.34261999999998,155.75004666666666,152.74512666666666,156.71186,153.45007999999999,163.42698666666666,160.29211999999998,168.34238666666667,165.78147333333334,170.70898,168.71969333333334
169.71525333333332,173.00716,169.52826666666667,165.23178666666666,162.04792666666668,149.19412,149.02728666666667,155.26498,151.12281333333334,153.37218666666666,152.18374,161.19124666666667,159.11888000000002,166.8726,163.64214666666666,171.37598666666668,168.66732666666667
170.52427333333333,173.05615333333333,171.46864,168.92759333333333,165.70001333333332,153.06516666666667,150.12174,155.03846000000001,154.40402666666668,156.50143333333332,154.13644,162.64941333333334,159.91133333333335,172.29141333333334,167.19090666666665,178.11068666666668,171.20394
171.85371333333333,172.50306,172.60845333333333,165.46611333333334,166.41852666666668,153.96836000000002,149.18773333333334,154.17440666666667,151.43873333333335,155.88019333333335,151.72126,161.68714,158.39492,165.84152,166.00564,169.66617333333335,164.96676666666667
173.24178,171.44721333333334,170.12693333333334,164.05164,162.78168,151.19752666666668,148.65080666666665,154.16949333333332,150.29566666666668,154.11482,152.73492666666667,162.34467333333333,159.45756,170.58916666666667,167.44357333333332,174.64777333333333,168.42470666666665
171.2769866666667,172.7275,171.00511333333336,165.08345333333332,166.37568666666667,155.71613333333335,153.09564,157.55418,156.08372666666668,159.33874,155.58221333333333,166.40368666666666,160.42122666666666,175.74509333333333,167.70439333333334,177.93754666666666,172.56646
170.62598666666668,173.13298666666668,168.29982,164.13048,162.66704666666666,150.08832,147.31412,150.64243333333334,150.86553333333333,153.17838,151.81163999999998,158.00141333333332,153.92306,164.18069333333335,162.04392666666666,170.18897333333334,165.76215333333334
171.61942666666667,173.67682666666667,170.25791333333333,163.7157,162.70202666666668,154.28419333333335,150.40466,154.66780666666665,150.79931333333334,157.20492666666667,153.77513333333334,160.7935733333333,159.2863,169.96675333333334,167.10784,173.13376,169.10909333333333
175.0315733333333,178.03485999999998,177.18846,168.00311333333335,168.51586,149.02356,149.22514666666666,152.02140666666665,150.80145333333334,154.02908,151.09336666666667,158.25082,153.38289333333333,158.78268,156.90865333333335,162.23102,157.47766666666666
171.57434,170.24876,172.89358,166.56488000000002,165.44891333333334,151.99037333333334,150.0174,154.77352,151.23376666666667,156.89853333333332,153.42932666666667,163.09178666666665,158.02839333333333,166.54882,167.66932666666665,173.96402,170.09718666666666
171.84622666666667,173.7839666666667,170.56078666666667,164.84808,164.53898,147.86202666666668,146.26945333333333,149.84707333333333,149.52573999999998,153.17383333333333,150.71674666666667,156.49444,154.50202,165.09875333333335,161.32908666666668,165.54341333333332,161.05192666666667
175.50181999999998,176.12824666666666,173.3096,165.69375333333335,163.43005333333332,151.20316666666668,149.37663333333333,153.25724666666667,150.77017999999998,156.46188,151.93032666666667,162.19357333333332,159.25222,169.48314,165.33400666666668,169.46960666666666,165.41723333333334
172.13402666666667,172.24326666666667,170.5222,167.61944666666668,164.75224,148.85717333333335,148.26933333333332,152.30416,149.65612,153.79818666666665,152.01652666666666,159.804,156.29934,165.70543333333333,162.01118,168.22983333333335,165.56116
171.614,172.2063,168.83762,165.66589333333334,164.23803333333333,152.85936666666666,152.17204666666666,157.37441333333334,153.21290666666667,159.42198,151.87518,162.04706,157.94817999999998,170.75928666666667,166.01489333333333,170.84364,169.86262666666667
174.01382,176.56064666666666,174.88732,168.06822,167.40582666666666,150.62673333333333,150.47444000000002,153.39935333333332,152.8170333333333,157.58746,154.80838666666665,160.76174666666665,157.39597333333333,167.17016666666666,162.38419333333334,169.96184,168.20034
171.13843333333332,170.35424,171.46581333333333,168.61393333333334,164.22412,150.53611999999998,149.4658,153.89334,151.71904666666669,156.05038666666667,153.68898,162.31898,156.49258666666668,171.30543333333333,164.48062666666667,169.85475333333335,166.74978000000002
177.18587333333332,177.03222000000002,173.3632,168.33614666666668,168.81037333333333,153.46851333333333,152.38165999999998,158.10429333333335,156.01734666666667,159.54616666666666,157.09776666666667,164.70267333333334,159.46669333333332,172.3889,167.69011333333333,175.8474,174.48435333333333
